,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,Yarmouth,41.71,-70.23,66.0,51,1,10.29,US,1600870021
370,Salalah,17.02,54.09,80.6,88,75,11.41,OM,1600870095
371,Ebenthal,46.61,14.36,70.0,64,40,3.36,AT,1600870096
372,Weligama,5.97,80.42,79.34,85,47,8.01,LK,1600870096
373,Ankang,32.68,109.02,62.01,47,0,1.05,CN,1600870096
374,Bhuban,20.88,85.83,81.73,85,93,6.98,IN,1600870096
375,Misratah,32.38,15.09,93.76,31,15,7.94,LY,1600870097
376,Karratha,-20.74,116.85,70.21,58,7,0.63,AU,1600870097
377,Okha,53.57,142.95,45.36,80,0,3.51,RU,1600870097
378,Tateyama,34.98,139.87,69.8,94,75,20.8,JP,1600870097
379,Nanortalik,60.14,-45.24,38.89,71,76,10.25,GL,1600870098
380,Kętrzyn,54.08,21.38,75.22,49,0,9.06,PL,1600870098
381,Vangaindrano,-23.35,47.6,69.87,74,60,9.31,MG,1600870098
382,Menongue,-14.66,17.69,95.65,11,0,9.62,AO,1600870098
383,Kiama,-34.68,150.87,57.0,65,0,5.01,AU,1600870099
384,Neiafu,-18.65,-173.98,71.6,94,40,10.87,TO,1600870099
385,Samarai,-10.62,150.67,78.3,85,88,13.98,PG,1600870099
386,Mount Isa,-20.73,139.5,75.2,23,0,10.29,AU,1600870012
387,Pocrí,8.27,-80.55,78.8,88,20,5.82,PA,1600870100
388,Bagé,-31.33,-54.11,64.4,63,89,3.36,BR,1600870100
389,Ancud,-41.87,-73.82,49.24,63,0,5.1,CL,1600870100
390,Dātāganj,28.03,79.4,79.02,86,100,10.2,IN,1600870101
391,Nowy Dwór Gdański,54.21,19.12,78.01,44,79,10.29,PL,1600870101
392,Obo,5.4,26.49,83.86,69,0,4.12,CF,1600870101
393,Sørland,67.67,12.69,51.8,81,75,46.08,NO,1600870102
394,Tiarei,-17.53,-149.33,77.0,69,20,5.82,PF,1600870102
395,Sisimiut,66.94,-53.67,33.06,87,2,12.64,GL,1600870102
396,Maiduguri,11.85,13.16,98.1,26,25,5.48,NG,1600870102
397,Heubach,48.79,9.93,69.01,61,59,1.99,DE,1600870103
398,Bonga,7.28,36.23,63.07,90,100,0.69,ET,1600870103
399,Lujiang,31.26,117.28,69.8,83,25,4.47,CN,1600870103
400,Lavrentiya,65.58,-171.0,37.51,87,88,6.02,RU,1600870103
401,Nemuro,43.32,145.57,56.43,70,0,11.07,JP,1600870103
402,Valleyview,55.07,-117.29,45.3,86,100,10.38,CA,1600869854
403,Vostok,46.49,135.88,43.57,98,0,3.36,RU,1600870104
404,Innisfail,-17.53,146.03,69.01,88,43,4.36,AU,1600870104
405,Wagar,16.15,36.2,103.71,13,100,3.53,SD,1600870104
406,Quatre Cocos,-20.21,57.76,75.2,60,40,6.93,MU,1600870105
407,São Filipe,14.9,-24.5,80.78,78,14,4.52,CV,1600870105
408,Mildura,-34.2,142.15,48.2,70,0,6.93,AU,1600870040
409,Rio Grande,-32.03,-52.1,63.03,74,73,7.99,BR,1600869854
410,Micheweni,-4.97,39.83,80.42,72,18,12.12,TZ,1600870106
411,Maturin,9.75,-63.18,85.57,74,97,5.79,VE,1600870106
412,Vladičin Han,42.71,22.06,80.01,55,100,3.0,RS,1600870106
413,São Marcos,-28.97,-51.07,66.0,64,0,8.99,BR,1600870107
414,Krasnosel'kup,65.7,82.47,39.63,77,26,8.66,RU,1600870107
415,Uvira,-3.41,29.15,84.72,43,15,8.32,CD,1600870107
416,Czersk,53.8,17.98,75.0,50,51,15.99,PL,1600870107
417,Luba,3.46,8.55,82.4,78,75,6.93,GQ,1600870108
418,Xinzhou,38.41,112.73,55.81,85,8,2.64,CN,1600870108
419,Cotonou,6.37,2.42,84.2,74,40,12.75,BJ,1600870108
420,Williams Lake,52.14,-122.14,51.8,71,90,13.87,CA,1600870108
421,Phan Thiet,10.93,108.1,79.61,82,24,1.83,VN,1600870109
422,Bad Laasphe,50.93,8.4,72.0,42,0,14.99,DE,1600870109
423,Roura,4.73,-52.33,86.0,74,62,8.05,GF,1600870109
424,City of San Pedro,14.35,121.02,78.8,88,75,3.36,PH,1600870110
425,Qui Nhon,13.77,109.23,81.95,79,73,5.35,VN,1600870110
426,Brae,60.4,-1.35,51.8,62,20,3.36,GB,1600870110
427,Tsabong,-26.02,22.4,86.32,24,0,12.93,BW,1600870110
428,Mnogovershinnyy,53.94,139.92,40.96,79,0,3.31,RU,1600870111
429,Peniche,39.36,-9.38,73.99,81,100,8.01,PT,1600870111
430,kimparana,12.83,-4.92,91.29,47,25,10.0,ML,1600870111
431,Canutama,-6.53,-64.38,83.53,66,100,4.74,BR,1600869979
432,George Town,5.41,100.34,86.0,79,40,2.24,MY,1600870112
433,Isabela,6.71,121.97,80.83,77,100,1.45,PH,1600870112
434,Hecun,36.53,114.11,63.84,83,96,1.68,CN,1600870112
435,Kiryat Gat,31.61,34.76,86.0,62,0,1.99,IL,1600869836
436,Tataouine,32.93,10.45,102.2,10,20,16.11,TN,1600869926
437,Dornbirn,47.42,9.73,70.0,82,75,4.7,AT,1600870113
438,Whitianga,-36.83,175.7,59.0,91,65,4.0,NZ,1600870113
439,Quelimane,-17.88,36.89,80.6,61,20,21.92,MZ,1600870113
440,Sokoto,13.06,5.24,94.98,35,0,1.61,NG,1600870113
441,Cayenne,4.93,-52.33,86.0,74,79,8.05,GF,1600869908
442,Fairbanks,64.84,-147.72,43.0,80,90,3.87,US,1600869856
443,Ambilobe,-13.2,49.05,81.95,48,95,5.01,MG,1600870114
444,Umm Kaddadah,13.6,26.69,96.24,27,81,8.41,SD,1600870114
445,Broken Hill,-31.95,141.43,51.8,71,0,9.17,AU,1600870114
446,Paris,48.85,2.35,75.0,68,64,12.75,FR,1600869666
447,Kavaratti,10.57,72.64,81.79,80,98,18.9,IN,1600870115
448,Iglesias,39.31,8.54,86.0,45,20,11.41,IT,1600870115
449,Bagotville,-28.98,153.42,68.0,82,75,8.05,AU,1600870116
450,Praia da Vitória,38.73,-27.07,70.0,88,75,24.14,PT,1600870116
451,Magadan,59.57,150.8,40.03,69,77,7.27,RU,1600869830
452,Poum,-20.23,164.02,72.32,77,10,8.61,NC,1600870116
453,Burnie,-41.07,145.92,46.0,76,28,3.0,AU,1600870116
454,Leh,34.17,77.58,56.73,28,1,5.75,IN,1600870117
455,Eilat,29.56,34.95,98.6,35,0,16.11,IL,1600870117
456,Provincia di Campobasso,41.63,14.58,79.0,90,91,1.01,IT,1600870117
457,Porosozero,62.72,32.73,54.32,75,59,8.95,RU,1600870117
458,Pitimbu,-7.47,-34.81,82.4,61,75,14.99,BR,1600870118
459,Švenčionys,55.15,26.17,68.92,61,5,7.4,LT,1600870118
460,Uvarovka,55.53,35.61,65.5,71,0,4.59,RU,1600870118
461,Bealanana,-14.55,48.73,67.86,54,0,8.34,MG,1600870118
462,Grand Gaube,-20.01,57.66,73.0,66,0,7.0,MU,1600870119
463,Puerto Carreño,6.19,-67.49,82.4,74,96,3.36,CO,1600869908
464,Dzerzhinskoye,56.83,95.23,54.57,92,100,7.81,RU,1600870119
465,Van Buren,35.44,-94.35,63.0,93,90,5.82,US,1600870119
466,Hobyo,5.35,48.53,79.38,76,57,27.22,SO,1600870120
467,Aklavik,68.22,-135.01,32.0,89,90,9.17,CA,1600870120
468,Starkville,33.45,-88.82,64.4,88,90,4.7,US,1600870120
469,Inuvik,68.35,-133.72,32.0,86,90,9.17,CA,1600870120
470,Tiksi,71.69,128.87,45.23,68,48,16.28,RU,1600870121
471,Manoel Urbano,-8.84,-69.26,84.24,50,84,4.21,BR,1600870121
472,Severo-Kuril'sk,50.68,156.12,47.19,76,9,14.43,RU,1600870121
473,Tiznit Province,29.58,-9.5,91.67,22,0,8.77,MA,1600870121
474,Sioux Lookout,50.1,-91.92,53.6,87,75,6.93,CA,1600870122
475,High Level,58.52,-117.14,37.4,100,75,2.24,CA,1600870122
476,Vágur,61.47,-6.81,49.53,68,68,21.99,FO,1600870122
477,Sabang,5.89,95.32,81.32,82,93,21.47,ID,1600870122
478,Bonfim,3.08,-59.95,88.18,60,35,9.44,BR,1600870123
479,Darhan,49.49,105.92,46.38,55,15,2.1,MN,1600870123
480,Palmer,42.16,-72.33,63.0,62,1,8.23,US,1600869834
481,Kloulklubed,7.04,134.26,77.0,94,75,3.36,PW,1600870123
482,Conway,35.09,-92.44,62.6,100,90,9.17,US,1600869876
483,Santa Rosa,14.31,121.11,78.8,88,75,3.36,PH,1600870124
484,Srednekolymsk,67.45,153.68,38.28,86,30,6.06,RU,1600870124
485,Florø,61.6,5.03,51.8,62,40,12.75,NO,1600870124
486,Piripiri,-4.27,-41.78,100.15,20,0,8.75,BR,1600870125
487,Aykhal,66.0,111.5,46.4,49,20,8.95,RU,1600870125
488,Machinga,-15.17,35.3,80.73,37,82,6.11,MW,1600870125
489,Oktyabr'skiy,54.48,53.47,52.05,61,99,9.62,RU,1600870125
490,Kununurra,-15.77,128.73,80.6,74,33,2.24,AU,1600870126
491,Kamenka,51.32,42.77,69.24,43,65,5.3,RU,1600870126
492,Saint Anthony,45.02,-93.22,68.0,77,1,5.82,US,1600870126
493,Camopi,3.17,-52.32,87.22,53,93,4.99,GF,1600870126
494,Asău,46.43,26.4,73.99,52,5,6.31,RO,1600870127
495,Pacific Grove,36.62,-121.92,53.6,87,1,4.9,US,1600870002
496,Edd,13.93,41.69,92.79,52,46,11.27,ER,1600870127
497,Conceição do Araguaia,-8.26,-49.26,96.66,38,0,5.73,BR,1600870108
498,Jacareacanga,-6.22,-57.75,82.4,74,0,2.24,BR,1600870127
499,Maxixe,-23.86,35.35,75.2,57,40,11.41,MZ,1600870128
500,Delījān,33.99,50.68,81.68,16,0,10.25,IR,1600870128
501,Yamada,39.47,141.95,64.89,86,99,11.1,JP,1600870128
502,Manicoré,-5.81,-61.3,90.19,53,51,4.41,BR,1600870129
503,Partyzany,46.33,34.75,71.53,47,0,10.85,UA,1600870129
504,Matagami,49.75,-77.63,55.4,87,90,9.17,CA,1600870129
505,Jacqueville,5.21,-4.41,82.4,78,40,14.99,CI,1600870129
506,Mezen',65.85,44.24,45.7,81,25,3.36,RU,1600870129
507,Bambanglipuro,-7.95,110.28,76.95,88,96,3.85,ID,1600870130
508,Nadym,65.53,72.52,40.59,73,41,10.78,RU,1600870130
509,Kodinsk,58.69,99.18,47.39,68,85,7.76,RU,1600870130
510,Shimoda,34.67,138.95,66.0,87,100,8.01,JP,1600870130
511,Kanigiri,15.4,79.52,85.1,65,52,5.57,IN,1600870131
512,Wawa,9.9,4.42,87.62,60,5,3.6,NG,1600870131
513,Thinadhoo,0.53,72.93,83.17,64,0,6.42,MV,1600870131
514,Kjøllefjord,70.95,27.35,44.6,75,98,5.82,NO,1600870131
515,Gaza,31.5,34.47,86.0,58,20,11.41,PS,1600870132
516,Saint-Augustin,51.23,-58.65,57.15,91,100,13.51,CA,1600870132
517,Saint-Pierre,-21.34,55.48,73.4,60,75,14.99,RE,1600870132
518,Adrar,20.5,-10.07,103.21,12,0,12.71,MR,1600870132
519,Bilibino,68.05,166.44,32.76,95,100,5.17,RU,1600870133
520,Pangnirtung,66.15,-65.71,39.2,29,90,12.75,CA,1600870133
521,Tual,-5.67,132.75,80.47,84,33,17.22,ID,1600870133
522,Kasama,-10.21,31.18,86.18,23,81,10.49,ZM,1600870134
523,Dolores,-36.31,-57.68,63.07,63,100,7.34,AR,1600870134
524,Hwange,-18.37,26.5,91.27,19,0,9.06,ZW,1600870134
525,San Antonio,29.42,-98.49,72.0,88,75,10.13,US,1600869990
